merk,model,vatting,brandpunt_mm,max_diafragma,jaar_van,jaar_tot,elementen,groepen,min_scherpstel_m,filter_mm,gewicht_g,lamellen,collectie
Pentax,smc Pentax-A* 85mm f/1.4,Pentax KA,85.0,1.4,,,,,,,,,
Pentax,smc Pentax-K 50mm f/1.2,Pentax K,50.0,1.2,1975,1984,7,6,0.45,52,385,8,wanted
Pentax,smc Pentax-K 50mm f/4 Macro,Pentax K,50.0,4.0,1975,1977,4,3,0.23,52,241,5,owned
Pentax,smc Pentax-M 100mm f/2.8,Pentax K,100.0,2.8,,,,,,,,,
Pentax,smc Pentax-M 120mm f/2.8,Pentax K,120.0,2.8,,,,,,,,,
Pentax,smc Pentax-M 135mm f/3.5,Pentax K,135.0,3.5,1977,1986,5,5,1.5,49,270,8,owned
Pentax,smc Pentax-M 150mm f/3.5,Pentax K,150.0,3.5,,,,,,,,,
Pentax,smc Pentax-M 2000mm f/13.5 Reflex,Pentax K,2000.0,13.5,,,,,,,,,
Pentax,smc Pentax-M 200mm f/4,Pentax K,200.0,4.0,,,,,,,,,
Pentax,smc Pentax-M 20mm f/4,Pentax K,20.0,4.0,,,,,,,,,
Pentax,smc Pentax-M 28mm 1:3.5,Pentax K,28.0,3.5,,,,,,,,,
Pentax,smc Pentax-M 28mm f/2,Pentax K,28.0,2.0,,,,,,,,,
Pentax,smc Pentax-M 28mm f/2.8,Pentax K,28.0,2.8,,,,,,,,,
Pentax,smc Pentax-M 35mm f/1.4,Pentax K,35.0,1.4,,,,,,,,,
Pentax,smc Pentax-M 35mm f/2,Pentax K,35.0,2.0,1977,1984,7,7,0.3,49,205,6,owned
Pentax,smc Pentax-M 35mm f/2.8,Pentax K,35.0,2.8,,,,,,,,,
Pentax,smc Pentax-M 400mm f/5.6,Pentax K,400.0,5.6,,,,,,,,,
Pentax,smc Pentax-M 40mm f/2.8,Pentax K,40.0,2.8,,,,,,,,,
Pentax,smc Pentax-M 50mm f/1.4,Pentax K,50.0,1.4,,,,,,,,,
Pentax,smc Pentax-M 50mm f/1.7,Pentax K,50.0,1.7,,,,,,,,,
Pentax,smc Pentax-M 50mm f/2,Pentax K,50.0,2.0,,,,,,,,,
Pentax,smc Pentax-M 85mm f/2,Pentax K,85.0,2.0,1977,1984,5,4,0.85,49,251,6,owned
Pentax,smc Pentax-M Macro 1:4 100mm,Pentax K,100.0,4.0,,,,,,,,,
Pentax,smc Pentax-M Macro 1:4 50mm,Pentax K,50.0,4.0,,,,,,,,,
Pentax,smc Pentax-M* 300mm f/4,Pentax K,300.0,4.0,,,,,,,,,
